iter	Passed	Remaining
0	156	156292
1	161	80429
2	166	55174
3	170	42438
4	175	34875
5	180	29905
6	184	26202
7	188	23405
8	193	21253
9	197	19506
10	201	18099
11	205	16950
12	210	15964
13	214	15094
14	218	14358
15	223	13721
16	227	13139
17	231	12618
18	235	12175
19	239	11745
20	242	11307
21	245	10909
22	248	10538
23	250	10168
24	252	9828
25	253	9510
26	255	9215
27	257	8932
28	258	8667
29	260	8421
30	262	8193
31	263	7972
32	264	7760
33	266	7560
34	267	7376
35	268	7197
36	270	7029
37	271	6866
38	272	6710
39	273	6561
40	274	6420
41	278	6354
42	282	6286
43	286	6221
44	289	6145
45	292	6059
46	294	5978
47	297	5894
48	299	5804
49	301	5721
50	303	5640
51	304	5558
52	306	5474
53	307	5394
54	309	5316
55	311	5242
56	312	5170
57	313	5096
58	315	5027
59	316	4957
60	317	4889
61	318	4825
62	320	4762
63	321	4698
64	322	4637
65	323	4577
66	324	4519
67	325	4457
68	326	4402
69	327	4349
70	328	4297
71	329	4245
72	330	4194
73	331	4145
74	332	4097
75	333	4050
76	334	4003
77	334	3958
78	335	3915
79	336	3872
80	337	3831
81	338	3790
82	339	3750
83	340	3711
84	340	3670
85	341	3632
86	342	3593
87	343	3557
88	344	3524
89	345	3489
90	345	3456
91	346	3423
92	347	3390
93	348	3359
94	349	3329
95	350	3299
96	351	3270
97	352	3241
98	353	3212
99	353	3185
100	354	3157
101	355	3127
102	356	3101
103	356	3075
104	357	3050
105	358	3026
106	359	3001
107	360	2977
108	361	2954
109	362	2931
110	363	2908
111	363	2885
112	365	2866
113	366	2845
114	367	2827
115	368	2808
116	369	2788
117	370	2771
118	372	2755
119	374	2743
120	375	2726
121	376	2708
122	376	2687
123	377	2669
124	378	2650
125	379	2632
126	380	2615
127	381	2595
128	381	2578
129	382	2561
130	383	2544
131	384	2528
132	385	2512
133	386	2496
134	387	2480
135	387	2464
136	388	2450
137	389	2433
138	390	2419
139	391	2404
140	392	2389
141	393	2375
142	393	2360
143	394	2347
144	395	2333
145	396	2319
146	397	2306
147	398	2292
148	399	2279
149	400	2266
150	400	2254
151	401	2241
152	402	2229
153	403	2217
154	404	2205
155	405	2193
156	406	2181
157	407	2169
158	407	2157
159	408	2146
160	409	2135
161	410	2123
162	411	2112
163	412	2101
164	413	2090
165	414	2080
166	414	2069
167	415	2058
168	416	2048
169	417	2037
170	418	2028
171	419	2020
172	420	2010
173	421	2002
174	422	1993
175	423	1984
176	424	1974
177	425	1965
178	426	1955
179	427	1946
180	427	1935
181	428	1925
182	429	1917
183	430	1908
184	431	1899
185	432	1890
186	433	1883
187	434	1874
188	434	1865
189	435	1857
190	436	1848
191	437	1840
192	438	1832
193	439	1824
194	440	1817
195	441	1809
196	441	1800
197	442	1793
198	443	1785
199	444	1777
200	445	1769
201	446	1762
202	447	1755
203	448	1748
204	449	1742
205	450	1735
206	451	1729
207	452	1721
208	453	1714
209	453	1707
210	454	1700
211	455	1693
212	456	1686
213	457	1679
214	458	1673
215	459	1666
216	459	1659
217	460	1653
218	461	1646
219	462	1640
220	463	1634
221	464	1627
222	465	1621
223	466	1614
224	466	1608
225	467	1602
226	468	1596
227	469	1589
228	470	1583
229	471	1577
230	472	1571
231	472	1565
232	473	1559
233	474	1554
234	475	1548
235	476	1542
236	477	1536
237	478	1530
238	479	1525
239	479	1519
240	480	1513
241	481	1508
242	482	1502
243	483	1497
244	483	1491
245	484	1486
246	485	1480
247	486	1475
248	487	1469
249	488	1464
250	489	1459
251	489	1454
252	490	1448
253	491	1443
254	492	1438
255	493	1433
256	494	1428
257	495	1423
258	495	1418
259	496	1413
260	497	1408
261	498	1403
262	499	1399
263	500	1394
264	501	1389
265	502	1385
266	503	1382
267	504	1379
268	505	1374
269	508	1373
270	511	1376
271	512	1372
272	513	1368
273	515	1364
274	516	1361
275	519	1362
276	520	1359
277	523	1359
278	525	1357
279	526	1353
280	527	1350
281	529	1347
282	530	1344
283	531	1340
284	533	1339
285	534	1335
286	536	1331
287	537	1328
288	539	1326
